USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
DRIVER_28,ZONE_DOWNTOWN,1748311059,ORDER_ACCEPTED
DRIVER_28,ZONE_DOWNTOWN,1748312859,ORDER_DELIVERED
DRIVER_13,ZONE_DOWNTOWN,1743642848,ORDER_DECLINED
DRIVER_35,ZONE_DOWNTOWN,1766129956,ORDER_DECLINED
DRIVER_26,ZONE_AIRPORT,1738236036,ORDER_DECLINED
DRIVER_39,ZONE_DOWNTOWN,1751234916,ORDER_ACCEPTED
DRIVER_39,ZONE_DOWNTOWN,1751236716,ORDER_DELIVERED
DRIVER_7,ZONE_AIRPORT,1738784329,ORDER_DECLINED
DRIVER_22,ZONE_AIRPORT,1747788916,ORDER_DECLINED
DRIVER_9,ZONE_AIRPORT,1751792138,ORDER_ACCEPTED
DRIVER_9,ZONE_AIRPORT,1751793938,ORDER_DELIVERED
DRIVER_30,ZONE_AIRPORT,1752575222,ORDER_DECLINED
DRIVER_10,ZONE_DOWNTOWN,1751655911,ORDER_ACCEPTED
DRIVER_10,ZONE_DOWNTOWN,1751657711,ORDER_DELIVERED
DRIVER_36,ZONE_SUBURBS,1767864626,ORDER_DECLINED
DRIVER_22,ZONE_AIRPORT,1751769154,ORDER_ACCEPTED
DRIVER_22,ZONE_AIRPORT,1751770954,ORDER_DELIVERED
DRIVER_24,ZONE_SUBURBS,1744228533,ORDER_ACCEPTED
DRIVER_24,ZONE_SUBURBS,1744230333,ORDER_DELIVERED
DRIVER_11,ZONE_AIRPORT,1752015424,ORDER_DECLINED
DRIVER_1,ZONE_AIRPORT,1744066972,ORDER_ACCEPTED
DRIVER_1,ZONE_AIRPORT,1744068772,ORDER_DELIVERED
DRIVER_1,ZONE_DOWNTOWN,1743267872,ORDER_ACCEPTED
DRIVER_1,ZONE_DOWNTOWN,1743269672,ORDER_DELIVERED
DRIVER_3,ZONE_AIRPORT,1746760861,ORDER_ACCEPTED
DRIVER_3,ZONE_AIRPORT,1746762661,ORDER_DELIVERED
DRIVER_19,ZONE_DOWNTOWN,1766367337,ORDER_ACCEPTED
DRIVER_19,ZONE_DOWNTOWN,1766369137,ORDER_DELIVERED
DRIVER_3,ZONE_DOWNTOWN,1760346532,ORDER_DECLINED
DRIVER_10,ZONE_AIRPORT,1737767742,ORDER_ACCEPTED
DRIVER_10,ZONE_AIRPORT,1737769542,ORDER_DELIVERED
DRIVER_22,ZONE_DOWNTOWN,1740455602,ORDER_ACCEPTED
DRIVER_22,ZONE_DOWNTOWN,1740457402,ORDER_DELIVERED
DRIVER_38,ZONE_DOWNTOWN,1753078970,ORDER_DECLINED
DRIVER_9,ZONE_DOWNTOWN,1741194306,ORDER_ACCEPTED
DRIVER_9,ZONE_DOWNTOWN,1741196106,ORDER_DELIVERED
DRIVER_33,ZONE_AIRPORT,1753393042,ORDER_DECLINED
DRIVER_18,ZONE_DOWNTOWN,1753024283,ORDER_DECLINED
DRIVER_20,ZONE_SUBURBS,1759265816,ORDER_ACCEPTED
DRIVER_20,ZONE_SUBURBS,1759267616,ORDER_DELIVERED
DRIVER_10,ZONE_DOWNTOWN,1745944730,ORDER_ACCEPTED
DRIVER_10,ZONE_DOWNTOWN,1745946530,ORDER_DELIVERED
DRIVER_39,ZONE_SUBURBS,1743451944,ORDER_DECLINED
DRIVER_22,ZONE_AIRPORT,1740488913,ORDER_ACCEPTED
DRIVER_22,ZONE_AIRPORT,1740490713,ORDER_DELIVERED
DRIVER_5,ZONE_SUBURBS,1758867402,ORDER_ACCEPTED
DRIVER_5,ZONE_SUBURBS,1758869202,ORDER_DELIVERED
DRIVER_47,ZONE_AIRPORT,1757343228,ORDER_DECLINED
DRIVER_44,ZONE_DOWNTOWN,1744257706,ORDER_DECLINED
DRIVER_29,ZONE_DOWNTOWN,1757527552,ORDER_DECLINED
DRIVER_35,ZONE_AIRPORT,1754419232,ORDER_DECLINED
DRIVER_25,ZONE_AIRPORT,1747284728,ORDER_DECLINED
DRIVER_43,ZONE_SUBURBS,1751387377,ORDER_ACCEPTED
DRIVER_43,ZONE_SUBURBS,1751389177,ORDER_DELIVERED
DRIVER_15,ZONE_AIRPORT,1754859038,ORDER_DECLINED
DRIVER_9,ZONE_SUBURBS,1741129550,ORDER_ACCEPTED
DRIVER_9,ZONE_SUBURBS,1741131350,ORDER_DELIVERED
DRIVER_32,ZONE_DOWNTOWN,1743867905,ORDER_DECLINED
DRIVER_20,ZONE_SUBURBS,1741161349,ORDER_DECLINED
DRIVER_2,ZONE_DOWNTOWN,1754860421,ORDER_ACCEPTED
DRIVER_2,ZONE_DOWNTOWN,1754862221,ORDER_DELIVERED
DRIVER_5,ZONE_AIRPORT,1763021301,ORDER_ACCEPTED
DRIVER_5,ZONE_AIRPORT,1763023101,ORDER_DELIVERED
DRIVER_9,ZONE_AIRPORT,1745290383,ORDER_ACCEPTED
DRIVER_9,ZONE_AIRPORT,1745292183,ORDER_DELIVERED
DRIVER_39,ZONE_SUBURBS,1738602557,ORDER_DECLINED
DRIVER_1,ZONE_AIRPORT,1745109709,ORDER_ACCEPTED
DRIVER_1,ZONE_AIRPORT,1745111509,ORDER_DELIVERED
DRIVER_50,ZONE_DOWNTOWN,1747142595,ORDER_DECLINED
DRIVER_2,ZONE_DOWNTOWN,1748595264,ORDER_ACCEPTED
DRIVER_2,ZONE_DOWNTOWN,1748597064,ORDER_DELIVERED
DRIVER_16,ZONE_SUBURBS,1738226231,ORDER_DECLINED
DRIVER_3,ZONE_AIRPORT,1766908337,ORDER_ACCEPTED
